uuid,identifier,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,FeatureID,FeatureType,FeatureAuthor,FeatureTimestamp,OverviewPhotos,Latitude,Longitude,Northing,Easting,Accuracy,Description,PhotoOfSketch,Comments,Interpretation,Material,AsociatedMaterialNotes,DetailPhotos,IDsOfPicturesFromExternalCamera,ExternalPhotoNotes,geospatialcolumn,Artefact Functional type,Tags,RevisedFeatureType,x-ref,Notes
1000061593216340516,3000 {Hearth},Cass Venn,2020-06-27 00:05:46.869 GMT,Cass Venn,2020-06-27 00:33:04 GMT,3000,Hearth,Cass Venn,2020-06-27 10:05:38+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/3000_Hearth__1.jpg''}}",-33.742056,150.25748,245933.8274,6263064.709,2.1,south facing. majority stonework but a couple of bricks partially buried on eastern side of interior. platform extends at least 3 m to south but indistinct.,,,,Ceramic - Glass - Metal - Stone,"metal heel plate from shoe. pot fragment both sitting on hearth. artefact scatter surrounding inc. ceramic. glass, metal - nail, stone artefacts. most artefacts outside of building platform. some glass and ceramic fragments on platform. window glass unburnt, burnt bottle glass. some transfer prints, ironstone- post 1850.0earthenware after 1828.0wurley salad bottle after 1845. pressed glass aqua. Jack field. banded ware.",,Shawn,4927-4934,POINT(245933.827413 6263064.709202),,Hut,Hearth | Platform | Artefact,,
1000061593218184097,3001 {Hearth},Cass Venn,2020-06-27 00:38:33.992 GMT,Cass Venn,2020-06-27 00:38:33 GMT,3001,Hearth,Cass Venn,2020-06-27 10:36:23+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/3001_Hearth__1.jpg''}}",-33.742129,150.257423,245928.7609,6263056.471,2.1,"north facing, constructed primarily from local rock, at least 2 bricks, indistinct platform 2m long with large eucalyptus growing on north side, hearth deposit may be intact, external deposit disturbed",,,,Ceramic - Glass - Metal - Stone,,,"Bec camera 0545, 0546, 0548",,POINT(245928.760853 6263056.471323),,Hut,Hearth | Platform | Artefact,,
1000041593218362929,4000 {Artefact_scatter},Penny Crook,2020-06-27 00:39:41.910 GMT,Penny Crook,2020-06-27 00:39:41 GMT,4000,Artefact scatter,Penny Crook,2020-06-27 10:39:22+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4000_Artefact_scatter__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4000_Artefact_scatter__2.jpg''}, ''3'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4000_Artefact_scatter__3.jpg''}}",-33.742022,150.257614,245946.1444,6263068.811,1.5,2-4 artefacts per sqm. late 19th domestic refuse. brick. lithic: proximal flake. few burnt. could be wash from features 3000-3001? density and artefact size increase toward the ridge.,,,,"Ceramic (LATE 19th c TP aesthetic style. it''s some industrial slip in banded where many mini plain white with single clay tobacco pipe with spur mark likely Charles  crop. one Hanley base Mark.) - Glass (bottle glass mostly alcohol. 1 square pickle one Worley and at least two blue Cobalt castor bottles. >3 manganese. one light green bottle YORK.) - Metal (hinges, tin, lead. partial horse shoe) - Stone (at least 2 lithics.) - Other (at least 4 bricks)","broad range mostly <3cm. some burnt and many unburnt.
","{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/DetailPhotos/4000_Artefact_scatter__1.jpg''}}",4935 to 4974,,POINT(245946.144444 6263068.810955),,Artefact | Alcohol | Smoking | Horses | Pharmaceutical | Food | Condiment | Building-Material,Artefact,,
1000061593219371466,3002 {Other},Cass Venn,2020-06-27 00:56:52.476 GMT,Cass Venn,2020-06-27 00:56:52 GMT,3002,Other,Cass Venn,2020-06-27 10:56:11+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/3002_Other__1.jpg''}}",-33.742143,150.257466,245932.7869,6263055.024,1.8,"possible post hole, unclear if it is associated with the hearth to the north or fence line or floor structure?",,,,Ceramic - Metal,"fencing nail, heat affected glass and ceramic",,"Bec camera 0549, 0550, 0551,",,POINT(245932.78685 6263055.024435),,Posthole,Depression,,
1000041593219573455,4001 {Artefact_scatter},Penny Crook,2020-06-27 00:59:45.966 GMT,Penny Crook,2020-06-27 00:59:45 GMT,4001,Artefact scatter,Penny Crook,2020-06-27 10:59:33+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4001_Artefact_scatter__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4001_Artefact_scatter__2.jpg''}}",-33.74206,150.257697,245953.948,6263064.801,1.75,"3 s per sq m. burnt pressed bowl, burnt Olive bottle. Jack field ware",,,,Ceramic - Glass - Metal,horseshoe,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/DetailPhotos/4001_Artefact_scatter__1.jpg''}}",4974 to 79,,POINT(245953.94795 6263064.800543),Bottle,Artefact | Alcohol,Artefact,,
1000061593220814328,3003 {Hearth},Cass Venn,2020-06-27 01:20:23.611 GMT,Cass Venn,2020-06-27 01:20:23 GMT,3003,Hearth,Cass Venn,2020-06-27 11:20:14+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/3003_Hearth__1.jpg''}}",-33.741508,150.258748,246049.7125,6263128.62,2.1,"south-southeast facing hearth, constructed from tabular sand stone typically greater than 0.6x0.3x0.1m.  no artefacts observed due to extensive leaf litter cover. platform indistinct but possibly 2(W) X 2-3(l) m",,,,,nil artefacts observed,,Bec camera 0552 - 0554,,POINT(246049.712497 6263128.620394),,Hut,Hearth | Platform,,
1000041593222787903,4002 {Artefact_scatter},Penny Crook,2020-06-27 01:53:33.122 GMT,Penny Crook,2020-06-27 01:55:21 GMT,4002,Artefact scatter,Penny Crook,2020-06-27 11:53:07+10:00,,-33.741008,150.259349,246103.931,6263185.563,2,Olive bottle Glass,,,simple scatter,Glass,,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/DetailPhotos/4002_Artefact_scatter__1.jpg''}}",,na,POINT(246103.931007 6263185.562557),Bottle,Artefact,Artefact,,
1000061593222820641,3004 {Hearth},Cass Venn,2020-06-27 01:54:24.530 GMT,Cass Venn,2020-06-27 02:01:18 GMT,3004,Hearth,Cass Venn,2020-06-27 11:53:40+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/3004_Hearth__1.jpg''}}",-33.740993,150.259522,246119.9183,6263187.653,2.7,SW facing hearth. local rock no brick. 2 courses partially in tact. platform indistinct at least 2-3 m wide 3-4m in length.,,,,,no artefacts within the feature or surrounding.,,Bec,0555-0557,POINT(246119.918342 6263187.652642),,Hut,Hearth | Platform,,
1000041593223531939,4003 {Artefact_scatter},Penny Crook,2020-06-27 02:05:47.426 GMT,Penny Crook,2020-06-27 02:06:20 GMT,4003,Artefact scatter,Penny Crook,2020-06-27 12:05:31+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4003_Artefact_scatter__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4003_Artefact_scatter__2.jpg''}}",-33.74089,150.259421,246110.2551,6263198.829,2.25,Black bottle glass,,,,Glass,Olive green,,,na,POINT(246110.255097 6263198.82879),Bottle,Artefact,Artefact,,
1000041593223787475,4004 {Other},Penny Crook,2020-06-27 02:09:57.059 GMT,Penny Crook,2020-06-27 02:09:57 GMT,4004,Other,Penny Crook,2020-06-27 12:09:47+10:00,"{''1'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4004_Other__1.jpg''}, ''2'': {''mimeType'': ''image/jpeg'', ''newFilename'': ''Feature/OverviewPhotos/4004_Other__2.jpg''}}",-33.7407,150.259564,6263220.256,246122.9463,2,sawn tree,,part of three,,,,,,,POINT(246122.946322 6263220.256352),,Work,Other,,
