uuid,identifier,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,Dimension,Measurement
1000061593216531161,{Width__m_}: 3.15,Cass Venn,2020-06-27 00:09:01.891 GMT,Cass Venn,2020-06-27 00:09:01 GMT,Width (m),3.15
1000061593216544458,{Length__m_}: 2.6,Cass Venn,2020-06-27 00:09:12.727 GMT,Cass Venn,2020-06-27 00:09:12 GMT,Length (m),2.6
1000061593216558686,: 0.6,Cass Venn,2020-06-27 00:09:45.010 GMT,Cass Venn,2020-06-27 00:10:21 GMT,",max preserved height",0.6
1000061593218559175,{Width__m_}: 2.3,Cass Venn,2020-06-27 00:42:50.682 GMT,Cass Venn,2020-06-27 00:43:11 GMT,Width (m),2.3
1000061593218614116,{Length__m_}: 1.5,Cass Venn,2020-06-27 00:43:47.673 GMT,Cass Venn,2020-06-27 00:43:47 GMT,Length (m),1.5
1000061593218633067,{Height__m_}: .3,Cass Venn,2020-06-27 00:44:07.994 GMT,Cass Venn,2020-06-27 00:44:27 GMT,"Height (m),max pres height",0.3
1000041593218827407,{Diameter__m_}: 20,Penny Crook,2020-06-27 00:47:19.715 GMT,Penny Crook,2020-06-27 01:04:41 GMT,Diameter (m),20
1000061593219643538,{Diameter__m_}: 0.2,Cass Venn,2020-06-27 01:01:00.013 GMT,Cass Venn,2020-06-27 01:03:36 GMT,Diameter (m),0.2
1000061593221124605,{Width__m_}: 2.7,Cass Venn,2020-06-27 01:25:35.473 GMT,Cass Venn,2020-06-27 01:26:03 GMT,Width (m),"2.7,max width"
1000061593221176570,{Width__m_}: 1.4,Cass Venn,2020-06-27 01:26:25.486 GMT,Cass Venn,2020-06-27 01:26:57 GMT,"Width (m),interior ",1.4
1000061593221233605,{Length__m_}: 1.5,Cass Venn,2020-06-27 01:27:21.659 GMT,Cass Venn,2020-06-27 01:27:31 GMT,"Length (m),max",1.5
1000061593221270519,{Length__m_}: 0.9,Cass Venn,2020-06-27 01:28:00.779 GMT,Cass Venn,2020-06-27 01:28:18 GMT,"Length (m),internal",0.9
1000061593221301668,{Height__m_}: 0.5,Cass Venn,2020-06-27 01:28:55.072 GMT,Cass Venn,2020-06-27 01:28:55 GMT,"Height (m),max preserved height",0.5
1000041593221824073,{Diameter__m_}: 5,Penny Crook,2020-06-27 01:37:13.022 GMT,Penny Crook,2020-06-27 01:37:13 GMT,Diameter (m),5
1000041593222878201,{Diameter__m_}: 3,Penny Crook,2020-06-27 01:54:45.081 GMT,Penny Crook,2020-06-27 01:54:55 GMT,Diameter (m),3
1000061593223035769,{Width__m_}: 3,Cass Venn,2020-06-27 01:57:20.845 GMT,Cass Venn,2020-06-27 01:57:20 GMT,Width (m),3
1000061593223042565,{Width__m_}: 1.2,Cass Venn,2020-06-27 01:57:34.862 GMT,Cass Venn,2020-06-27 01:57:34 GMT,"Width (m),internal",1.2
1000061593223056600,{Length__m_}: 2.7,Cass Venn,2020-06-27 01:57:44.145 GMT,Cass Venn,2020-06-27 01:57:48 GMT,Length (m),2.7
1000061593223069662,{Length__m_}: 1.2,Cass Venn,2020-06-27 01:58:03.859 GMT,Cass Venn,2020-06-27 01:58:03 GMT,"Length (m),interior",1.2
1000061593223087817,{Height__m_}: 0.4,Cass Venn,2020-06-27 01:58:15.157 GMT,Cass Venn,2020-06-27 01:58:19 GMT,"Height (m),max pres",0.4
1000041593223549987,{Diameter__m_}: 1,Penny Crook,2020-06-27 02:05:59.370 GMT,Penny Crook,2020-06-27 02:05:59 GMT,Diameter (m),1
1000041593223896069,{Diameter__m_}: .20,Penny Crook,2020-06-27 02:11:58.637 GMT,Penny Crook,2020-06-27 02:13:14 GMT,Diameter (m),".20,est"
1000041593223930685,{Height__m_}: .90,Penny Crook,2020-06-27 02:12:22.707 GMT,Penny Crook,2020-06-27 02:12:59 GMT,Height (m),0.9
1000021593223953547,{Diameter__m_}: 0.25,Shawn  Ross,2020-06-27 02:12:41.423 GMT,Shawn  Ross,2020-06-27 02:12:48 GMT,Diameter (m),0.25
1000021593223992378,{Height__m_}: 0.9,Shawn  Ross,2020-06-27 02:13:26.010 GMT,Shawn  Ross,2020-06-27 02:13:26 GMT,Height (m),0.9
1000021593224144626,{Diameter__m_}: 0.35,Shawn  Ross,2020-06-27 02:15:53.969 GMT,Shawn  Ross,2020-06-27 02:16:03 GMT,Diameter (m),0.35
1000041593224155622,{Length__m_}: 3,Penny Crook,2020-06-27 02:16:07.473 GMT,Penny Crook,2020-06-27 02:16:07 GMT,Length (m),3
