uuid,identifier,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,FeatureID,FeatureType,FeatureAuthor,FeatureTimestamp,OverviewPhotos,Latitude,Longitude,Northing,Easting,Accuracy,Description,PhotoOfSketch,Comments,Interpretation,Material,AsociatedMaterialNotes,DetailPhotos,IDsOfPicturesFromExternalCamera,ExternalPhotoNotes,geospatialcolumn,Artefact Functional type,Tags,RevisedFeatureType,Xref,Notes
1000031586561956512,1000 {Isolated_find},Bec Parkes,2020-04-10 23:39:52.155 GMT,Bec Parkes,2020-04-11 00:00:38 GMT,1000,Isolated find,Bec Parkes,2020-04-11 09:39:16+10:00,Feature/OverviewPhotos/1000_Isolated_find__1.jpg,-33.747994,150.28457,248461.5181,6262472.522,3.9,coupling,,,,Metal,,,4107-4156,Shawn''s camera,POINT(248461.518147 6262472.522048),Mechanical,Artefact | Work | Industrial,Artefact | Ropeway element,1000 | 2000,Duplicate
1000021586561946926,2000 {Isolated_find},Shawn Ross,2020-04-10 23:41:38.929 GMT,Shawn Ross,2020-04-10 23:41:38 GMT,2000,Isolated find,Shawn Ross,2020-04-11 09:39:06+10:00,Feature/OverviewPhotos/2000_Isolated_find__1.jpg,-33.748003,150.284543,248459.0426,6262471.458,3.9,Tram coupling,,same as record 1000,,Metal,,,,,POINT(248459.042637 6262471.457835),Mechanical,Artefact | Work | Industrial,Artefact | Ropeway element,1000 | 2000,Duplicate
1000031586563379607,1001 {Artefact_scatter},Bec Parkes,2020-04-11 00:03:07.923 GMT,Bec Parkes,2020-04-11 00:06:08 GMT,1001,Artefact scatter,Bec Parkes,2020-04-11 10:02:59+10:00,Feature/OverviewPhotos/1001_Artefact_scatter__1.jpg,-33.747965,150.284531,248457.8197,6262475.644,3,ceramic cup and horseshoe both fragments,,,,Ceramic,,,4157 & 4158,shawn,POINT(248457.819658 6262475.643554),Food service | Implement,Artefact | Horses | Food,,,
1000031586565233865,1002 {Masonry},Bec Parkes,2020-04-11 00:33:56.213 GMT,Cass Venn,2020-04-11 01:55:24 GMT,1002,Masonry,Bec Parkes,2020-04-11 10:33:53+10:00,Feature/OverviewPhotos/1002_Masonry__1.jpg,-33.754001,150.289052,248894.3476,6261817.151,3,Stone work at one end forming fireplace and rubble.,,other measurement is estimated length. Also glass and tin artefacts.,,Stone,,,"4159-4186, photogrammetry from 4187- 4209; from up high: 4247-48",Shawn,POINT(248894.347588 6261817.150907),,Hut,Hearth | Platform | Artefact,1002 | 1003 | 1004,"All within 3m, combine"
1000031586566202844,1003 {Artefact_scatter},Bec Parkes,2020-04-11 00:50:16.253 GMT,Bec Parkes,2020-04-11 00:55:42 GMT,1003,Artefact scatter,Bec Parkes,2020-04-11 10:50:02+10:00,Feature/OverviewPhotos/1003_Artefact_scatter__1.jpg,-33.754016,150.289032,248892.5383,6261815.438,3,"dark green gin case bottle and plain white glaze stoneware plate, clear machine maded moulded bottle glass.",,,,Ceramic - Glass,,,4210-4216,Shawn,POINT(248892.5383 6261815.438333),Food service,Artefact | Food | Alcohol,Artefact,1002 | 1003 | 1004,"All within 3m, combine"
1000031586566703756,1004 {Isolated_find},Bec Parkes,2020-04-11 00:58:44.713 GMT,Bec Parkes,2020-04-11 00:59:32 GMT,1004,Isolated find,Bec Parkes,2020-04-11 10:58:23+10:00,Feature/OverviewPhotos/1004_Isolated_find__1.jpg,-33.754005,150.289043,248893.5254,6261816.685,2.75,ceramic cup Black floral or geometric border,,,,Ceramic,,,4217 & 4218,Shawn,POINT(248893.525383 6261816.685283),Food service,Artefact | Food,Artefact,1002 | 1003 | 1004,"All within 3m, combine"
1000031586566964219,1005 {Artefact_scatter},Bec Parkes,2020-04-11 01:03:00.028 GMT,Bec Parkes,2020-04-11 01:07:21 GMT,1005,Artefact scatter,Bec Parkes,2020-04-11 11:02:44+10:00,Feature/OverviewPhotos/1005_Artefact_scatter__1.jpg,-33.75416,150.289009,248890.8275,6261799.41,3,"white ceramic fragments: stoneware plain white glaze, plain white with blue linear design, green and brown ornamental, salt glaze, storageware, tableware, and ornamental. metal spike.",,,,Ceramic - Glass - Metal,,,4219-4227,Shawn,POINT(248890.827516 6261799.40958),Food service,Artefact | Food,Artefact,1005 | 1006,"Within 4m, associate"
1000031586567590634,1006 {Hearth},Bec Parkes,2020-04-11 01:13:11.928 GMT,Cass Venn,2020-04-11 01:54:33 GMT,1006,Hearth,Bec Parkes,2020-04-11 11:13:10+10:00,Feature/OverviewPhotos/1006_Hearth__2.jpg,-33.7542,150.28901,248891.0369,6261794.975,2.25,possible platform extends 2m southeast. metal bar (rail) across hearth. olive green bottle glass.,,,,Glass - Metal,",4264-4266 -metal bracket Shawn''s camera.",Feature/DetailPhotos/1006_Hearth__1a.jpg,1103-1108; 4242-4246,"Bec Parkes,; Shawn",POINT(248891.036903 6261794.97516),Bottle,Hut,Hearth | Platform | Artefact,1005 | 1006,"Within 4m, associate"
1000021586567657225,2001 {Masonry},Shawn Ross,2020-04-11 01:14:26.766 GMT,Shawn Ross,2020-04-11 01:57:55 GMT,2001,Masonry,Shawn Ross,2020-04-11 11:14:17+10:00,Feature/OverviewPhotos/2001_Masonry__6.jpg,-33.754117,150.289149,248903.6735,6261804.52,2.7,Remains of apsidal (?) hut similar to the first one (reference number needed).,,,dwelling ,Stone,,,"4228-4239,4249-4252",lumix 9g,POINT(248903.673452 6261804.520469),,Hut,Hearth,,
1000061586568776690,1007 {Platform},Cass Venn,2020-04-11 01:32:59.921 GMT,Cass Venn,2020-04-11 01:36:09 GMT,1007,Platform,Cass Venn,2020-04-11 11:32:56+10:00,Feature/OverviewPhotos/1007_Platform__1.jpg,-33.754292,150.288974,248887.9699,6261784.683,3.3,possible cut platform with stone rubble forming rectangular shape,,,,Stone,,,1109-1110,Bec,POINT(248887.969887 6261784.682631),,Hut,Platform,,
