uuid,identifier,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,Dimension,Measurement
1000031586562080149,{Length__m_}: 1.4,Bec Parkes,2020-04-10 23:41:33.491 GMT,Bec Parkes,2020-04-10 23:41:33 GMT,Length (m),1.4
1000021586562199783,{Length__m_}: 1.4,Shawn Ross,2020-04-10 23:43:31.172 GMT,Shawn Ross,2020-04-10 23:43:31 GMT,Length (m),1.4
1000021586562244160,{Width__m_}: .9,Shawn Ross,2020-04-10 23:44:11.788 GMT,Shawn Ross,2020-04-10 23:44:11 GMT,Width (m),0.9
1000031586562238717,{Width__m_}: 0.9,Bec Parkes,2020-04-10 23:44:12.857 GMT,Bec Parkes,2020-04-10 23:44:12 GMT,Width (m),0.9
1000031586565347431,{Width__m_}: 3.1,Bec Parkes,2020-04-11 00:37:07.333 GMT,Bec Parkes,2020-04-11 00:37:07 GMT,Width (m),3.1
1000031586565429932,{Height__m_}: 1,Bec Parkes,2020-04-11 00:37:24.016 GMT,Bec Parkes,2020-04-11 00:37:24 GMT,Height (m),1
1000031586565452338,{Length__m_}: 1.8,Bec Parkes,2020-04-11 00:37:41.561 GMT,Bec Parkes,2020-04-11 00:38:09 GMT,Length (m),1.8
1000031586565492229,{Other}: 4.5,Bec Parkes,2020-04-11 00:38:20.380 GMT,Bec Parkes,2020-04-11 00:38:20 GMT,Other,4.5
1000031586566546338,{Length__m_}: 1.5,Bec Parkes,2020-04-11 00:55:56.951 GMT,Bec Parkes,2020-04-11 00:55:56 GMT,Length (m),1.5
1000031586566558907,{Width__m_}: 1,Bec Parkes,2020-04-11 00:56:05.731 GMT,Bec Parkes,2020-04-11 00:56:05 GMT,Width (m),1
1000031586567160411,{Length__m_}: 3,Bec Parkes,2020-04-11 01:06:21.148 GMT,Bec Parkes,2020-04-11 01:06:21 GMT,Length (m),3
1000031586567183440,{Width__m_}: 3,Bec Parkes,2020-04-11 01:06:30.329 GMT,Bec Parkes,2020-04-11 01:06:30 GMT,Width (m),3
1000031586567729558,{Length__m_}: .9,Bec Parkes,2020-04-11 01:15:41.523 GMT,Bec Parkes,2020-04-11 01:15:41 GMT,Length (m),0.9
1000031586567743708,{Width__m_}: 1.2,Bec Parkes,2020-04-11 01:15:54.716 GMT,Bec Parkes,2020-04-11 01:15:54 GMT,Width (m),1.2
1000031586567756500,{Height__m_}: .4,Bec Parkes,2020-04-11 01:16:03.989 GMT,Bec Parkes,2020-04-11 01:16:03 GMT,Height (m),0.4
1000031586567790169,{Other}: ,Bec Parkes,2020-04-11 01:16:41.951 GMT,Bec Parkes,2020-04-11 01:16:41 GMT,Other,
1000021586568396229,{Width__m_}: 3.9,Shawn Ross,2020-04-11 01:26:44.039 GMT,Shawn Ross,2020-04-11 01:26:44 GMT,Width (m),3.9
1000021586568421670,{Length__m_}: 4.6,Shawn Ross,2020-04-11 01:27:13.990 GMT,Shawn Ross,2020-04-11 01:27:33 GMT,"Length (m),max preserved",4.6
1000021586568456721,{Height__m_}: 0.7,Shawn Ross,2020-04-11 01:27:50.940 GMT,Shawn Ross,2020-04-11 01:27:50 GMT,Height (m),"0.7,max preserved"
1000061586568969549,{Length__m_}: 4.5,Cass Venn,2020-04-11 01:36:26.453 GMT,Cass Venn,2020-04-11 01:36:26 GMT,Length (m),4.5
1000061586568988464,{Width__m_}: 3,Cass Venn,2020-04-11 01:36:36.791 GMT,Cass Venn,2020-04-11 01:36:36 GMT,Width (m),3
1000021586569159697,{Length__m_}: 0.9,Shawn Ross,2020-04-11 01:39:28.890 GMT,Shawn Ross,2020-04-11 01:39:28 GMT,Length (m),0.9
1000021586569200378,{Width__m_}: 0.7,Shawn Ross,2020-04-11 01:40:08.716 GMT,Shawn Ross,2020-04-11 01:40:08 GMT,Width (m),0.7
1000021586569236044,{Depth__m_}: 0.3,Shawn Ross,2020-04-11 01:40:43.518 GMT,Shawn Ross,2020-04-11 01:40:43 GMT,Depth (m),0.3
1000061586569257282,{Length__m_}: 5.4,Cass Venn,2020-04-11 01:41:08.613 GMT,Cass Venn,2020-04-11 01:41:08 GMT,Length (m),5.4
1000061586569270595,{Width__m_}: 3.4,Cass Venn,2020-04-11 01:41:17.943 GMT,Cass Venn,2020-04-11 01:41:17 GMT,Width (m),3.4
1000061586571268831,{Length__m_}: .995,Cass Venn,2020-04-11 02:14:37.695 GMT,Cass Venn,2020-04-11 02:14:37 GMT,Length (m),0.995
1000061586571293856,{Width__m_}: .79,Cass Venn,2020-04-11 02:15:04.830 GMT,Cass Venn,2020-04-11 02:15:04 GMT,Width (m),0.79
1000061586571307068,{Depth__m_}: .5,Cass Venn,2020-04-11 02:15:13.862 GMT,Cass Venn,2020-04-11 02:15:57 GMT,"Depth (m),depth from leaf litter",0.5
1000061586572078042,{Width__m_}: .16,Cass Venn,2020-04-11 02:28:10.137 GMT,Cass Venn,2020-04-11 02:29:56 GMT,"Width (m),hole",0.16
1000061586572092611,{Height__m_}: .14,Cass Venn,2020-04-11 02:28:20.683 GMT,Cass Venn,2020-04-11 02:29:46 GMT,"Height (m),hole",0.14
1000061586572102928,{Depth__m_}: .06,Cass Venn,2020-04-11 02:28:36.950 GMT,Cass Venn,2020-04-11 02:28:48 GMT,"Depth (m),modified hole",0.06
1000061586572135100,{Height__m_}: .95,Cass Venn,2020-04-11 02:29:07.480 GMT,Cass Venn,2020-04-11 02:29:21 GMT,"Height (m),hole from ground surface",0.95
1000061586572198505,{Width__m_}: .9,Cass Venn,2020-04-11 02:30:15.405 GMT,Cass Venn,2020-04-11 02:30:15 GMT,"Width (m),metal",0.9
1000061586572217205,{Length__m_}: .49,Cass Venn,2020-04-11 02:30:31.938 GMT,Cass Venn,2020-04-11 02:30:31 GMT,"Length (m),metal",0.49
1000061586572234524,{Depth__m_}: .05,Cass Venn,2020-04-11 02:30:44.703 GMT,Cass Venn,2020-04-11 02:30:49 GMT,"Depth (m),metal",0.05
1000021586572694261,{Diameter__m_}: 0.03,Shawn Ross,2020-04-11 02:38:31.067 GMT,Shawn Ross,2020-04-11 02:38:31 GMT,Diameter (m),0.03
1000061586573226767,{Length__m_}: .9,Cass Venn,2020-04-11 02:47:14.992 GMT,Cass Venn,2020-04-11 02:47:32 GMT,"Length (m),ushaped",0.9
1000061586573254059,{Width__m_}: 2.8,Cass Venn,2020-04-11 02:47:41.528 GMT,Cass Venn,2020-04-11 02:47:52 GMT,"Width (m),ushaped",2.8
1000061586573275620,{Length__m_}: 1.4,Cass Venn,2020-04-11 02:48:10.513 GMT,Cass Venn,2020-04-11 02:49:05 GMT,"Length (m),Central strut. chain links connected to a D-Link at one end and hook at other.",1.4
1000021586573403430,{Length__m_}: 0.28,Shawn Ross,2020-04-11 02:50:11.738 GMT,Shawn Ross,2020-04-11 02:50:11 GMT,Length (m),0.28
1000021586573436160,{Width__m_}: 0.25,Shawn Ross,2020-04-11 02:50:44.865 GMT,Shawn Ross,2020-04-11 02:50:44 GMT,Width (m),0.25
