title,date,publication,remove_tags,add_tags,source,notes
Mountain Mixtures,7 July 1893,,,hotel licensing | publican's licensing,hotel_licensing_action_plan,Item #4
Megalong Valley,6 October 1893,,,publican's licensing,hotel_licensing_action_plan,Item #13
Katoomba Police Court,21 September 1894,,,publican's licensing,hotel_licensing_action_plan,Item #14
Granted,26 March 1892,,,hotel licensing,hotel_licensing_action_plan,Item #15
Mountain Mixtures,29 April 1892,,,hotel licensing,hotel_licensing_action_plan,Item #22
Notice of Application...,19 June 1896,,,publican's licensing,hotel_licensing_action_plan,Item #37
Mountain Mixtures,14 July 1893,,,publican's licensing,hotel_licensing_action_plan,Item #41
Licensing,7 July 1893,,,publican's licensing,hotel_licensing_action_plan,Item #42
Local and General,8 July 1893,,,hotel licensing | publican's licensing,hotel_licensing_action_plan,Item #43
Katoomba Court,16 June 1893,,,hotel licensing | publican's licensing,hotel_licensing_action_plan,Item #44
Licensing,1 October 1892,,,publican's licensing,hotel_licensing_action_plan,Item #48
Megalong Valley,27 October 1893,,,hotel licensing,hotel_licensing_action_plan,Item #61
Notice of Application...,9 June 1893,,,publican's licensing,hotel_licensing_action_plan,Item #63
A Charge of Rape.,6 September 1890,Nepean Times,Alcohol,drinking (alcohol) | rum | grog | drunkenness (intoxication) | Sexual assault | Carrington Hotel | Penrith Police Court | Dr Spark,alcohol_rationalisation_report,Item #1 - enhanced with RETAGGING_DECISIONS tags
Mountain Mixtures.,29 April 1892,Katoomba Times,Alcohol,Drunkenness | drunkenness (intoxication) | beer | liquor trade | Lithgow,alcohol_rationalisation_report,Item #2
Mountain Mixtures,25 August 1893,Katoomba Times,Alcohol,drinking (alcohol) | Whisky | beer | rum | brandy | liquor trade | beer sales | drunkenness (intoxication) | Megalong Valley,alcohol_rationalisation_report,Item #3 - enhanced with RETAGGING_DECISIONS tags
Mountain Mixtures.,10 February 1893,Katoomba Times,Alcohol,beer | liquor trade | beer sales,alcohol_rationalisation_report,Item #4 - enhanced with RETAGGING_DECISIONS tags
Found dead.,28 January 1893,Nepean Times,Alcohol,drinking (alcohol) | drunkenness (intoxication) | death | Inquests | Ruined Castle Shale Mine (site) | South Katoomba,alcohol_rationalisation_report,Item #5
Mountain Mixtures.,3 March 1893,Katoomba Times,Alcohol,liquor trade | hotellier | fire | Megalong Valley | Oberon,alcohol_rationalisation_report,Item #6
Katoomba Court.,14 October 1892,Katoomba Times,Alcohol,liquor licensing | unlicensed sales | Whisky | drinking (alcohol) | beer sales | wine sales | P. Mullany and Company | Nellie's Glen (settlement),alcohol_rationalisation_report,Item #7 - enhanced with RETAGGING_DECISIONS tags
Katoomba Police Court.,21 March 1891,Katoomba Times,Alcohol,liquor licensing | serving alcohol to minors | Whisky | adolescents,alcohol_rationalisation_report,Item #8
Katoomba Court.,17 March 1893,Katoomba Times,Alcohol,drinking (alcohol) | Drunkenness | drunkenness (intoxication) | theft | Whisky | rum | gin | shipwright | South Katoomba,alcohol_rationalisation_report,Item #9
Megalong Matters.,9 September 1892,Katoomba Times,Alcohol,drinking (alcohol) | drunkenness (intoxication) | wine | liquor trade | Indigenous Australians | publican | Megalong Valley,alcohol_rationalisation_report,Item #10
