mention_id,item_title,item_url,action,old_tag,new_tags,classification,context_snippet,notes
1,Mountain Mixtures (1892-06-17),http://nla.gov.au/nla.news-article194118172,REPLACE,Katoomba Public School,Katoomba Public School (building),building,"straight that it is a capitalist organ ? — it is owned by mighty email capitalists, by the way. Cook and Donald are a heap better than Jack Hurley, anyway, and the said owners did not cry out at him o...",Mention 1: Katoomba Public School
2,Mountain Mixtures (1893-08-25),http://nla.gov.au/nla.news-article194114976,REPLACE,Katoomba Public School,Katoomba Public School (organisation),organisation,"Getting better.  Hartley and The Nepean electorates retain their names.  Arbor Day celebration a big success at Penrith last week.  Seed Potatoes at G. Clarke's produce store, Katoomba. - Advt.  Mr. J...",Mention 2: Katoomba Public School
3,Local Jottings (1889-09-21),http://nla.gov.au/nla.news-article194115775,REPLACE,Katoomba Public School,Katoomba Public School (building),building,"A fellow-workmen enjoying the fun. Single miners' fare—no more. One loaf of bread among four. Shale works at Katoomba Colliery stopped. Small number of miners in the colliery. Boy miners, 6d. per hour...",Mention 3: Katoomba Public School
4,Mountain Mixtures (1892-01-22),http://nla.gov.au/nla.news-article194117043,REPLACE,Katoomba Public School,Katoomba Public School (organisation),organisation,"esday, Anniversary Day. The Mount Sports are postponed indefinitely. Mr. Lewis Duff, senior, who is well known to almost everyone in the district, announces in our advertising columns that he is a can...",Mention 4: Katoomba Public School
5,Jottings (1891-05-23),http://nla.gov.au/nla.news-article194112487,REPLACE_WITH_BOTH,Katoomba Public School,Katoomba Public School (building) | Katoomba Public School (organisation),both,"will not wire that down to the Telegraph, or ""blow"" any more. Mr. Kitch, a photographer, Katoomba, has shown us some very nice views of the Sunny Corner Silver Mine and Smelters which he have been ord...",Mention 5: Katoomba Public School
6,Mountain Mixtures (1893-02-10),http://nla.gov.au/nla.news-article194115698,REPLACE,Katoomba Superior Public School,Katoomba Superior Public School (building),building,"Katoomba Times (NSW : 1889 - 1894), Friday 10 February 1893, page 2  Mountain Mixtures. ""A chiel's amang ye takin' notes, an' faith we'll prent 'em."" No new courthouse for Katoomba yet awhile. Blackhe...",Mention 6: Katoomba Superior Public School
7,Mountain Mixtures (1893-06-16),http://nla.gov.au/nla.news-article194113774,REPLACE_WITH_BOTH,Katoomba Superior Public School,Katoomba Superior Public School (building) | Katoomba Superior Public School (organisation),both,"The police have the matter in hand, but so far have no clue or the least suspicion on anyone. House-breaking is a game indulged in rather too frequently just now, and we trust the gang will soon be br...",Mention 7: Katoomba Superior Public School
8,Mountain Mixtures (1893-06-23),http://nla.gov.au/nla.news-article194113438,REPLACE,Katoomba Superior Public School,Katoomba Superior Public School (organisation),organisation,"After the good things provided had been done justice to, the health of the daughter of the hostess was proposed in enlogistic terms by Mr. s. B. Banfield, M.A., supported by Mr. Southwood and responde...",Mention 8: Katoomba Superior Public School
9,Mountain Mixtures (1894-03-23),http://nla.gov.au/nla.news-article194112362,REPLACE,Katoomba Superior Public School,Katoomba Superior Public School (organisation),organisation,"On Thursday, at the Katoomba school, an exhibition of work was held, and a fairly large number of parents attended. One day this week a miner employed by the A. K.O. and M. Company, at Katoomba South,...",Mention 9: Katoomba Superior Public School
10,Moutains Mixtures (1893-11-17),http://nla.gov.au/nla.news-article194110192,REPLACE,Katoomba Superior Public School,Katoomba Superior Public School (organisation),organisation,"t them? Friday's and Saturday's wet didn't add to the attractiveness of the Wesleyan bazaar at Katoomba, although a fairly large number of people patronised the event, the proceeds amounting to about...",Mention 10: Katoomba Superior Public School
11,Mountain Mixtures (1892-10-21),http://nla.gov.au/nla.news-article194117986,REPLACE,Katoomba Superior Public School,Katoomba Superior Public School (organisation),organisation,"Katoomba Times (NSW : 1889 - 1894), Friday 21 October 1892, page 2  Mountain Mixtures. ""A chiel's amang ye takin' notes an' faith we'll prent' ein."" Lovely day last Wednesday. More new ads. - The Hote...",Mention 11: Katoomba Superior Public School
12,Hartley Vale (1891-10-16),http://nla.gov.au/nla.news-article194115931,REPLACE,School,School (organisation),organisation,"Mr. Russell, the new manager, is getting everything into first-class order, and what was a wilderness formerly is a network of tramways now. He is erecting an engine on the top of the incline to do th...",Mention 12: School
13,Mountain Mixtures (1892-03-11),http://nla.gov.au/nla.news-article194115130,REPLACE,School,School (organisation),organisation,"2  Mountain Mixtures. ""A chiel's amang ye takin' notes, an' faith we'll print 'em."" WEATHER. - Lovely. Plenty of visitors. Have you seen Kitch's perch? Every prospect of the reason being a long one. F...",Mention 13: School
14,Katoomba Police Court (1892-03-26),http://nla.gov.au/nla.news-article101077351,REPLACE,School,School (organisation),organisation,"Blakey by Mr Baster, and as he said that he was not aware that he had given up the hall, and as the event took place only a few days after Mr. Baster had given up the hall, he would have to dismiss th...",Mention 14: School
15,Mountain Mixtures (1892-11-25),http://nla.gov.au/nla.news-article194115505,RETAG_SCHOOL_OF_ARTS,School,School of Arts,school_of_arts,"89 - 1894), Friday 25 November 1892, page 2  Mountain Mixtures. ""A chiel's amang ye takin' notes an' faith we'll prent 'em."" KEEP your drains clean! No funds for Courthouse. Harry Edwards and son gone...",Mention 15: School
16,Mountain Mixtures (1892-11-18),http://nla.gov.au/nla.news-article194117649,REPLACE,School,School (building),building,"Katoomba Times (NSW : 1889 - 1894), Friday 18 November 1892, page 2  Mountain Mixtures. ""A chiel's amang ye takin' notes an' faith we'll prent 'em. Keeps up - The J.P. attendance. Not started yet - Th...",Mention 16: School
17,Official (1895-05-10),http://nla.gov.au/nla.news-article194838295,REPLACE_WITH_BOTH,School,School (building) | School (organisation),both,"dd that a further communication will be made to you when a decision in this case has been given. - I have, &c.,  W. HOUSTON, Under Secretary.  The Hon. J. Cook, M.L.A., Sydney.  - o - Department of Pu...",Mention 17: School
18,Katoomba. Rumour About Work At The Mines (1905-05-23),http://nla.gov.au/nla.news-article218752709,REPLACE,School,School (organisation),organisation,"Guest, and Jay West, and by Misses Messiter, Bradley, and others, which were well received and encored, after which Mr. H. Scope, J.P., came forward and thanked the audience for their patronage, and a...",Mention 18: School
19,Mountain Mixtures (1894-03-23),http://nla.gov.au/nla.news-article194112362,REPLACE,School,School (organisation),organisation,"C. concert at Katoomba on Easter Monday. Wonder if old Pluyious is in league with our local plumber? I.O.O.F. Ball at Blackheath on Wednesday next. ""Under the Palms"" at Mount Victoria tonight and tomo...",Mention 19: School
20,Town Talk (1903-03-13),http://nla.gov.au/nla.news-article188871927,RETAG_SCHOOL_OF_ARTS,School,School of Arts,school_of_arts,he motion to reduce the council clerk's salary by £26 per annum was negatived by the aldermen at Monday's meeting by 5 votes to 3. We have heard during the week of a snake story from over Leura way. I...,Mention 20: School
21,Town Talk (1904-05-13),http://nla.gov.au/nla.news-article188871519,RETAG_SCHOOL_OF_ARTS,School,School of Arts,school_of_arts,"good deal of regret is expressed at the departure of Alderman Bronger, who was looked upon as a man who took an interest in the whole of the Mountain towns. The court house was well filled with specta...",Mention 21: School
22,Megalong Matters (1892-08-26),http://nla.gov.au/nla.news-article194115068,REPLACE_WITH_BOTH,School,School (building) | School (organisation),both,"He already has some good ponies in foal to ""Leddicott,"" his stallion, winner of four first prizes at the Hawkesbury and Metropolitan Shows and I trust he will be fortunate in his enterprise. Peradvent...",Mention 22: School
23,Memorandum to the Chief Inspector [recommending Waudby’s Hall for public school],,REPLACE_WITH_BOTH,School,School (building) | School (organisation),both,Memorandum to the Chief Inspector [recommending Waudby’s Hall for public school]  Memorandum to The Chief Inspector Megalong Public: As to lease of building As many of the residents of this place have...,Mention 23: School
