item_title,item_date,url,original_zotero_tags,proposed_tag,facet
"A Charge of Rape",1890-09-06,http://nla.gov.au/nla.news-article101009812,"Carrington Hotel","Carrington Hotel (building)","Built Environment"
"Advertising",1895-02-08,http://nla.gov.au/nla.news-article194839926,"Megalong Hotel","Megalong Hotel (building)","Built Environment"
"Advertising",1895-02-08,http://nla.gov.au/nla.news-article194839926,"Megalong Hotel","Megalong Hotel (business)","Agents"
"Death of Mrs. Nimmo",1926-12-03,http://nla.gov.au/nla.news-article108957001,"Family hotel, family hotel","Katoomba Family Hotel (business)","Agents"
"Jottings",1891-05-23,http://nla.gov.au/nla.news-article194112487,"Montrose House","Montrose House (building)","Built Environment"
"Katoomba",1903-04-21,http://nla.gov.au/nla.news-article221489774,"Centennial Hotel","Centennial Hotel (business)","Agents"
"Katoomba",1905-08-04,http://nla.gov.au/nla.news-article218749071,"Family hotel, family hotel","Katoomba Family Hotel (building)","Built Environment"
"Katoomba",1905-08-04,http://nla.gov.au/nla.news-article218749071,"Family hotel, family hotel","Katoomba Family Hotel (business)","Agents"
"Katoomba Court",1893-03-17,http://nla.gov.au/nla.news-article194114685,"Centennial Hotel","Centennial Hotel (building)","Built Environment"
"Katoomba Court",1893-03-17,http://nla.gov.au/nla.news-article194114685,"Centennial Hotel","Centennial Hotel (business)","Agents"
"Katoomba Court",1893-06-16,http://nla.gov.au/nla.news-article194113779,"Centennial Hotel","Centennial Hotel (business)","Agents"
"Katoomba Municipal Elections",1890-07-05,http://nla.gov.au/nla.news-article194116221,"Centennial Hotel","Centennial Hotel (building)","Built Environment"
"Katoomba Municipal Elections",1890-07-05,http://nla.gov.au/nla.news-article194116221,"Centennial Hotel","Centennial Hotel (business)","Agents"
"Katoomba Police Court",1894-09-21,http://nla.gov.au/nla.news-article194836227,"Carrington Hotel","Carrington Hotel (building)","Built Environment"
"Katoomba Police Court",1894-09-21,http://nla.gov.au/nla.news-article194836227,"Carrington Hotel","Carrington Hotel (business)","Agents"
"Katoomba Police Court",1895-12-13,http://nla.gov.au/nla.news-article194839890,"Megalong Hotel","Megalong Hotel (building)","Built Environment"
"Katoomba Police Court",1895-12-13,http://nla.gov.au/nla.news-article194839890,"Megalong Hotel","Megalong Hotel (business)","Agents"
"Katoomba Police Court",1905-12-01,http://nla.gov.au/nla.news-article190711256,"Railway Hotel","Railway Hotel (building)","Built Environment"
"Local Jottings",1889-09-21,http://nla.gov.au/nla.news-article194115775,"Carrington Hotel","Carrington Hotel (building)","Built Environment"
"Local Jottings",1890-04-26,http://nla.gov.au/nla.news-article194118062,"Katoomba Hotel","Katoomba Hotel (building)","Built Environment"
"Local Jottings",1890-07-19,http://nla.gov.au/nla.news-article194114141,"Imperial Hotel","Imperial Hotel (business)","Agents"
"Local and General",1893-07-08,http://nla.gov.au/nla.news-article101080283,"Carrington Hotel","Carrington Hotel (business)","Agents"
"Megalong Matters",1896-06-05,https://trove.nla.gov.au/newspaper/article/194841544,"Megalong Hotel","Megalong Hotel (business)","Agents"
"Mountain Mixtures",1891-11-20,http://nla.gov.au/nla.news-article194115968,"Belgravia Hotel","Belgravia Hotel (building)","Built Environment"
"Mountain Mixtures",1892-01-22,http://nla.gov.au/nla.news-article194117043,"Wentworth Falls Hotel","Wentworth Falls Hotel (business)","Agents"
"Mountain Mixtures",1892-04-29,http://nla.gov.au/nla.news-article194118683,"Belgravia Hotel, Katoomba Family Hotel","Belgravia Hotel (business)","Agents"
"Mountain Mixtures",1892-04-29,http://nla.gov.au/nla.news-article194118683,"Belgravia Hotel, Katoomba Family Hotel","Katoomba Family Hotel (business)","Agents"
"Mountain Mixtures",1892-09-09,http://nla.gov.au/nla.news-article194117633,"Wentworth Falls Hotel","Wentworth Falls Hotel (business)","Agents"
"Mountain Mixtures",1892-12-02,http://nla.gov.au/nla.news-article194113022,"Katoomba Hotel","Katoomba Hotel (building)","Built Environment"
"Mountain Mixtures",1893-05-05,http://nla.gov.au/nla.news-article194112641,"Montrose House","Montrose House (building)","Built Environment"
"Mountain Mixtures",1893-06-02,http://nla.gov.au/nla.news-article194113004,"Railway Hotel","Railway Hotel (building)","Built Environment"
"Mountain Mixtures",1893-06-23,http://nla.gov.au/nla.news-article194113438,"Imperial Hotel","Imperial Hotel (building)","Built Environment"
"Mountain Mixtures",1893-08-25,http://nla.gov.au/nla.news-article194114976,"Montrose House","Montrose House (building)","Built Environment"
"Moutains Mixtures",1893-11-17,http://nla.gov.au/nla.news-article194110192,"Montrose House","Montrose House (building)","Built Environment"
"Narrow Neck",1901-12-27,https://trove.nla.gov.au/newspaper/article/190710317?browse=ndp%3Abrowse%2Ftitle%2FM%2Ftitle%2F907%2F1901%2F12%2F27%2Fpage%2F21393095%2Farticle%2F190710317,"Megalong Hotel","Megalong Hotel (building)","Built Environment"
"Notice of Application for a Conditional Publican's Licence",1893-06-09,https://trove.nla.gov.au/newspaper/article/194112699,"Megalong Hotel, Mount Victoria Hotel","Megalong Hotel (business)","Agents"
"Notice of Application for a Conditional Publican's Licence",1893-06-09,https://trove.nla.gov.au/newspaper/article/194112699,"Megalong Hotel, Mount Victoria Hotel","Mount Victoria Hotel (business)","Agents"
"Notice of Application for a Publican's Licence",1896-06-19,http://nla.gov.au/nla.news-article194842204,"Megalong Hotel","Megalong Hotel (building)","Built Environment"
"Notice of Application for a Publican's Licence",1896-06-19,http://nla.gov.au/nla.news-article194842204,"Megalong Hotel","Megalong Hotel (business)","Agents"
"Opening of the Gladstone Coal-Mine, Katoomba",1885-07-13,http://nla.gov.au/nla.news-article13592813,"Grand Hotel, Mount Victoria Hotel","Grand Hotel (Sydney) (building)","Built Environment"
"Opening of the Gladstone Coal-Mine, Katoomba",1885-07-13,http://nla.gov.au/nla.news-article13592813,"Grand Hotel, Mount Victoria Hotel","Grand Hotel (Sydney) (business)","Agents"
"Opening of the Gladstone Coal-Mine, Katoomba",1885-07-13,http://nla.gov.au/nla.news-article13592813,"Grand Hotel, Mount Victoria Hotel","Mount Victoria Hotel (business)","Agents"
"Testimonial to a Mine Manager",1890-08-09,http://nla.gov.au/nla.news-article194111613,"Centennial Hotel","Centennial Hotel (building)","Built Environment"
"The Inquest",1896-07-03,http://nla.gov.au/nla.news-article194839540,"Katoomba Hotel","Katoomba Hotel (building)","Built Environment"
"The Megalong Hotel",1894-09-21,https://trove.nla.gov.au/newspaper/article/194836241?searchTerm=megalong%20hotel%201894#,"Megalong Hotel","Megalong Hotel (building)","Built Environment"
"The Megalong Hotel",1894-09-21,https://trove.nla.gov.au/newspaper/article/194836241?searchTerm=megalong%20hotel%201894#,"Megalong Hotel","Megalong Hotel (business)","Agents"
"The Passing of a Mountaineer. Vale! Joseph Nimmo",1917-03-23,http://nla.gov.au/nla.news-article108247332,"Family hotel, family hotel","Katoomba Family Hotel (business)","Agents"
"The Rockley Game",1896-02-07,http://nla.gov.au/nla.news-article194838040,"Megalong Hotel","Megalong Hotel (building)","Built Environment"
"The Rockley Game",1898-03-18,http://nla.gov.au/nla.news-article194839495,"Imperial Hotel","Imperial Hotel (building)","Built Environment"
