item_title,item_date,trove_url,zotero_key,action,old_tags,new_tags,classification,notes
"Mountain Mixtures (1892-11-25)","25 November 1892",http://nla.gov.au/nla.news-article194115505,TBD,REPLACE,"Katoomba School of Arts","Katoomba School of Arts (organisation)",organisation,"Event organisation - flower show"
"Mountain Mixtures (1892-12-02)","2 December 1892",http://nla.gov.au/nla.news-article194113022,TBD,REPLACE,"Katoomba School of Arts","Katoomba School of Arts (organisation)",organisation,"Event organisation - flower show"
"Mountain Mixtures (1893-08-25)","25 August 1893",http://nla.gov.au/nla.news-article194114976,TBD,REPLACE,"Katoomba School of Arts","Katoomba School of Arts (organisation)",organisation,"Financial status, subscriptions, book purchases"
"Town Talk (1904-07-22)","22 Jul 1904",http://nla.gov.au/nla.news-article188871008,TBD,REPLACE_WITH_BOTH,"Katoomba School of Arts","Katoomba School of Arts (building) | Katoomba School of Arts (organisation)",both,"Billiard table (building) + revenue tracking (organisation)"
"Mountain Mixtures (1892-04-29)","29 April 1892",http://nla.gov.au/nla.news-article194118683,TBD,REPLACE_WITH_BOTH,"Katoomba School of Arts","Katoomba School of Arts (building) | Katoomba School of Arts (organisation)",both,"Library collection (building) + institutional acquisition (organisation)"
"Jottings (1891-05-23)","23 May 1891",http://nla.gov.au/nla.news-article194112487,TBD,REPLACE_WITH_BOTH,"Katoomba School of Arts","Katoomba School of Arts (building) | Katoomba School of Arts (organisation)",both,"Reading room table (building) + committee oversight (organisation)"
"Mountain Mixtures (1892-10-21)","21 October 1892",http://nla.gov.au/nla.news-article194117986,TBD,REPLACE,"Katoomba School of Arts","Katoomba School of Arts (building)",building,"Physical browsing in library space - 'fossicking about the books at'"
"Mountain Mixtures (1893-07-07)","7 July 1893",http://nla.gov.au/nla.news-article194118634,TBD,REPLACE_WITH_BOTH,"Katoomba School of Arts","Katoomba School of Arts (building) | Katoomba School of Arts (organisation)",both,"Committee meeting held at reading room (building) + organisational governance (organisation)"
"News in Brief (1903-10-09)","9 October 1903",http://nla.gov.au/nla.news-article190715974,TBD,REPLACE,"Katoomba School of Arts","Katoomba School of Arts (organisation)",organisation,"Committee meeting notice - pure organisational reference"
"Opening of the Mines School of Arts (1891-09-05)","5 September 1891",http://nla.gov.au/nla.news-article194113923,TBD,REPLACE,"School of Arts","Mines School of Arts (organisation)",organisation,"Opening of institute - organisational establishment. Also ADD specific establishment tag."
"Mountain Mixtures (1893-06-09)","9 June 1893",http://nla.gov.au/nla.news-article194112700,TBD,REPLACE,"School of Arts","school of arts (organisation)",organisation,"Membership and subscriptions - pure organisational"
"Town Talk (1903-10-30)","30 October 1903",http://nla.gov.au/nla.news-article188870500,TBD,REPLACE,"School of Arts","school of arts (building)",building,"New School of Arts building - explicit physical structure reference"
"Mines School of Arts (1891-05-02)","2 May 1891",http://nla.gov.au/nla.news-article194110570,TBD,REPLACE,"School of Arts","Mines School of Arts (organisation)",organisation,"Membership enrolment and officer election. Also ADD specific establishment tag."
"Mountain Mixtures (1893-06-16)","16 June 1893",http://nla.gov.au/nla.news-article194113774,TBD,REPLACE,"School of Arts","school of arts (organisation)",organisation,"Management complaints and membership subscriptions - organisational"
"Mountain Mixtures (1893-06-30)","30 June 1893",http://nla.gov.au/nla.news-article194117017,TBD,REPLACE,"School of Arts","school of arts (organisation)",organisation,"Subscription drive - membership recruitment operations"
"Katoomba (1905-08-04)","4 August 1905",http://nla.gov.au/nla.news-article218749071,TBD,REPLACE,"School of Arts","school of arts (organisation)",organisation,"Librarian as employee - organisational staffing"
"Mountain Mixtures (1893-06-23)","23 June 1893",http://nla.gov.au/nla.news-article194113438,TBD,REPLACE_WITH_BOTH,"School of Arts","school of arts (building) | school of arts (organisation)",both,"Reading room table (building) + periodicals provision (organisation)"
"Town Talk (1903-03-13)","13 March 1903",http://nla.gov.au/nla.news-article188871927,TBD,REPLACE_WITH_BOTH,"School of Arts","school of arts (building) | school of arts (organisation)",both,"Committee meeting at the room (building - elliptical ref) + committee governance and building project discussion (organisation) - CORRECTED after human review"
