title,date,publication,remove_tags,add_tags,source,notes
A Charge of Rape.,6 September 1890,Nepean Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Local Jottings.,26 April 1890,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
News in Brief,9 October 1903,Mountaineer,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,7 July 1893,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,21 October 1892,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,9 September 1892,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Local Jottings.,19 July 1890,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Girls Cricket Match at Katoomba.,26 April 1895,Mountaineer,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
The Rockley Game.,7 February 1896,Mountaineer,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,4 December 1891,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Megalong Matters.,5 June 1896,Mountaineer,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Megalong Valley.,6 October 1893,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba Police Court.,21 September 1894,Mountaineer,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Granted,26 March 1892,Nepean Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,22 January 1892,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,23 June 1893,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba.,4 August 1905,Lithgow Mercury,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Local Jottings.,25 May 1889,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Local Jottings.,21 September 1889,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,20 November 1891,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,29 April 1892,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
News in Brief.,1 September 1905,Mountaineer,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Blue Mountains Railway Tourist Guide,1890s,,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
The Passing of a Mountaineer. Vale! Joseph Nimmo.,23 March 1917,Blue Mountain Echo,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
