title,date,publication,remove_tags,add_tags,source,notes,category
Hartley Vale.,13 February 1911,Lithgow Mercury,Death,death,capitalization_synonyms,Automated case correction,CAT1
"Eaton, Elizabeth Ann.",29 April 1948,Sydney Morning Herald,Death,death,capitalization_synonyms,Automated case correction,CAT1
Return Thanks,18 June 1954,Southern Mail,Death,death,capitalization_synonyms,Automated case correction,CAT1
Kembla Disaster Survivor: Death of Mr. J. J. Meredith,25 November 1940,Lithgow Mercury,Death,death,capitalization_synonyms,Automated case correction,CAT1
"Deaths, Eaton",29 April 1948,Sydney Morning Herald,Death,death,capitalization_synonyms,Automated case correction,CAT1
Funerals,9 November 1937,Newcastle Morning Herald and Miners' Advocate,Death,death,capitalization_synonyms,Automated case correction,CAT1
Funerals. Eaton.,22 August 1939,Sydney Morning Herald,Death,death,capitalization_synonyms,Automated case correction,CAT1
Funeral Notice,2 August 1934,Katoomba Daily,Death,death,capitalization_synonyms,Automated case correction,CAT1
Mrs. G. Battram.,24 April 1936,Newcastle Morning Herald and Miners' Advocate,Death,death,capitalization_synonyms,Automated case correction,CAT1
Alfred Jones,22 May 1936,Dungog Chronicle,Death,death,capitalization_synonyms,Automated case correction,CAT1
Obituary.,2 April 1937,South Coast Times and Wollongong Argus,Death,death,capitalization_synonyms,Automated case correction,CAT1
Colliery Fatality. The Death of Mr. W. Meredith,23 November 1926,Toowoomba Chronicle and Darling Downs Gazette,Death,death,capitalization_synonyms,Automated case correction,CAT1
Holmesville,13 August 1924,Newcastle Morning Herald and Miners' Advocate,Death,death,capitalization_synonyms,Automated case correction,CAT1
Meredith,9 September 1920,Daily Telegraph,Death,death,capitalization_synonyms,Automated case correction,CAT1
District Casualities.,27 August 1918,Newcastle Morning Herald and Miners' Advocate,Death,death,capitalization_synonyms,Automated case correction,CAT1
Roll of Honor.,3 August 1917,South Coast Times and Wollongong Argus,Death,death,capitalization_synonyms,Automated case correction,CAT1
"Deserting Wives and Families, Service, etc.",27 October 1915,New South Wales Police Gazette and Weekly Record of Crime,Death,death,capitalization_synonyms,Automated case correction,CAT1
Scarborough.,21 February 1911,Illawarra Mercury,Death,death,capitalization_synonyms,Automated case correction,CAT1
West Wallsend.,10 October 1911,Newcastle Morning Herald and Miners' Advocate,Death,death,capitalization_synonyms,Automated case correction,CAT1
Death of Mrs Waudby.,7 May 1910,Blue Mountain Echo,Death,death,capitalization_synonyms,Automated case correction,CAT1
South Clifton Fatality,31 May 1910,Illawarra Mercury,Death,death,capitalization_synonyms,Automated case correction,CAT1
"Births, Marriages, and Deaths.",15 December 1905,Australian Star,Death,death,capitalization_synonyms,Automated case correction,CAT1
Obituary.,15 September 1904,Great Southern Advocate,Death,death,capitalization_synonyms,Automated case correction,CAT1
Town Talk.,22 Jul 1904,Blue Mountain Gazette,Death,death,capitalization_synonyms,Automated case correction,CAT1
In the Intestate of Jane Ann Austin,3 April 1903,Mountaineer,Death,death,capitalization_synonyms,Automated case correction,CAT1
LOST IN A SHALE MINE.,15 April 1903,Evening News,Death,death,capitalization_synonyms,Automated case correction,CAT1
The Muont (sic) Kembla Disaster.,8 August 1902,Mountaineer,Death,death,capitalization_synonyms,Automated case correction,CAT1
The Inquest,13 July 1900,Mountaineer,Death,death,capitalization_synonyms,Automated case correction,CAT1
Katoomba.,9 July 1901,Lithgow Mercury,Death,death,capitalization_synonyms,Automated case correction,CAT1
Funerals.,18 September 1900,Newcastle Morning Herald and Miners' Advocate,Death,death,capitalization_synonyms,Automated case correction,CAT1
Death of Canon Kemmis.,25 March 1897,Sydney Morning Herald,Death,death,capitalization_synonyms,Automated case correction,CAT1
Katoomba Coal and Shale Mines.,7 June 1895,Mountaineer,Death,death,capitalization_synonyms,Automated case correction,CAT1
Mountain Mixtures.,5 May 1893,Katoomba Times,Death,death,capitalization_synonyms,Automated case correction,CAT1
Katoomba.,28 January 1888,Nepean Times,Death,death,capitalization_synonyms,Automated case correction,CAT1
Death of Mr. J. C. Brydon.,4 October 1886,Newcastle Morning Herald and Miners' Advocate,Death,death,capitalization_synonyms,Automated case correction,CAT1
NARROW ESCAPE OF SHALE STACK.,6 January 1905,Daily Telegraph,Weather,weather,capitalization_synonyms,Automated case correction,CAT1
Jottings.,23 May 1891,Katoomba Times,Weather,weather,capitalization_synonyms,Automated case correction,CAT1
Mountain Mixtures.,23 March 1894,Katoomba Times,Weather,weather,capitalization_synonyms,Automated case correction,CAT1
Hartley Vale.,13 February 1911,Lithgow Mercury,Weather,weather,capitalization_synonyms,Automated case correction,CAT1
Mountain Mixtures.,16 June 1893,Katoomba Times,Weather,weather,capitalization_synonyms,Automated case correction,CAT1
Brevities.,29 September 1916,Lithgow Mercury,Weather,weather,capitalization_synonyms,Automated case correction,CAT1
Katoomba.,19 January 1906,Lithgow Mercury,Weather,weather,capitalization_synonyms,Automated case correction,CAT1
Town Talk.,22 Jul 1904,Blue Mountain Gazette,Weather,weather,capitalization_synonyms,Automated case correction,CAT1
Football.,22 April 1904,Blue Mountain Gazette,Weather,weather,capitalization_synonyms,Automated case correction,CAT1
Town Talk.,2 October 1903,Blue Mountain Gazette,Weather,weather,capitalization_synonyms,Automated case correction,CAT1
At Katoomba,10 November 1893,Katoomba Times,Weather,weather,capitalization_synonyms,Automated case correction,CAT1
"Katoomba, Sunday.",17 April 1893,Sydney Morning Herald,Weather,weather,capitalization_synonyms,Automated case correction,CAT1
Katoomba News.,29 June 1895,Nepean Times,Weather,weather,capitalization_synonyms,Automated case correction,CAT1
Katoomba.,8 July 1908,Lithgow Mercury,Weather,weather,capitalization_synonyms,Automated case correction,CAT1
Katoomba.,1 August 1905,Lithgow Mercury,Weather,weather,capitalization_synonyms,Automated case correction,CAT1
Katoomba. Mine Operations Suspended.,27 May 1904,Lithgow Mercury,Weather,weather,capitalization_synonyms,Automated case correction,CAT1
"Supreme Court, Sydney.",2 June 1893,Katoomba Times,Court,court,capitalization_synonyms,Automated case correction,CAT1
Jottings.,23 May 1891,Katoomba Times,Court,court,capitalization_synonyms,Automated case correction,CAT1
Mountain Mixtures.,30 June 1893,Katoomba Times,Court,court,capitalization_synonyms,Automated case correction,CAT1
To-Day's Further Court Proceedings,1 December 1932,Lithgow Mercury,Court,court,capitalization_synonyms,Automated case correction,CAT1
Spinning Jenny at Races Gets Man Into Trouble,13 June 1919,Barrier Miner,Court,court,capitalization_synonyms,Automated case correction,CAT1
Parramatta Quarter Sessions.,3 June 1914,Sydney Morning Herald,Court,court,capitalization_synonyms,Automated case correction,CAT1
Police Court.,8 January 1904,Blue Mountain Gazette,Court,court,capitalization_synonyms,Automated case correction,CAT1
"Wednesday, 12th February.",14 February 1902,Mountaineer,Court,court,capitalization_synonyms,Automated case correction,CAT1
Newcastle Police Court,17 August 1898,Newcastle Morning Herald and Miners' Advocate,Court,court,capitalization_synonyms,Automated case correction,CAT1
Korumburra Police Court.,21 October 1897,Great Southern Advocate,Court,court,capitalization_synonyms,Automated case correction,CAT1
Katoomba Police Court,20 March 1896,Mountaineer,Court,court,capitalization_synonyms,Automated case correction,CAT1
Small Debts Court.,13 March 1896,Mountaineer,Court,court,capitalization_synonyms,Automated case correction,CAT1
