title,date,publication,remove_tags,add_tags,source,notes
A Charge of Rape.,6 September 1890,Nepean Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Local Jottings.,26 April 1890,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
News in Brief,9 October 1903,Mountaineer,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Mountain Mixtures.,7 July 1893,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Mountain Mixtures.,21 October 1892,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Mountain Mixtures.,9 September 1892,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Local Jottings.,19 July 1890,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Girls Cricket Match at Katoomba.,26 April 1895,Mountaineer,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
The Rockley Game.,7 February 1896,Mountaineer,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Mountain Mixtures.,4 December 1891,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Megalong Matters.,5 June 1896,Mountaineer,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Megalong Valley.,6 October 1893,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Katoomba Police Court.,21 September 1894,Mountaineer,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Granted,26 March 1892,Nepean Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Mountain Mixtures.,22 January 1892,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Mountain Mixtures.,23 June 1893,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Katoomba.,4 August 1905,Lithgow Mercury,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Local Jottings.,25 May 1889,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Local Jottings.,21 September 1889,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Mountain Mixtures.,20 November 1891,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Mountain Mixtures.,29 April 1892,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
News in Brief.,1 September 1905,Mountaineer,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Blue Mountains Railway Tourist Guide,1890s,,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
The Passing of a Mountaineer. Vale! Joseph Nimmo.,23 March 1917,Blue Mountain Echo,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Death of Mrs. Nimmo,3 December 1926,Blue Mountain Echo,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Mountain Mixtures.,4 May 1894,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Lawson.,5 May 1894,Nepean Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Katoomba Police Court.,1 December 1905,Mountaineer,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
A Public Meeting.,13 January 1905,Mountaineer,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
"St Joseph's New Church, Megalong",17 March 1905,Mountaineer,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Town Talk.,26 August 1904,Blue Mountain Gazette,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Megalong Notes.,21 March 1902,Mountaineer,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Narrow Neck.,27 December 1901,Mountaineer,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
The Rockley Game.,18 March 1898,Mountaineer,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
The Inquest.,3 July 1896,Mountaineer,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Notice of Application for a Publican's Licence,19 June 1896,Mountaineer,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Katoomba Police Court,13 December 1895,Mountaineer,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Advertising,8 February 1895,Mountaineer,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Mountain Mixtures,14 July 1893,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Licensing.,7 July 1893,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Local and General,8 July 1893,Nepean Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Katoomba Court.,16 June 1893,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Mountain Mixtures.,2 June 1893,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Mountain Mixtures.,2 December 1892,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Mountain Mixtures.,18 November 1892,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Licensing.,1 October 1892,Nepean Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Mountain Mixtures.,11 March 1892,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Testimonial to a Mine Manager.,9 August 1890,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Katoomba Municipal Elections.,5 July 1890,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Katoomba.,7 January 1888,Nepean Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Katoomba.,29 September 1888,Nepean Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Katoomba Athletic Sports.,12 December 1885,Nepean Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Advertising,20 November 1885,Sydney Morning Herald,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
"Opening of the Gladstone Coal-Mine, Katoomba.",13 July 1885,Sydney Morning Herald,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Katoomba Court.,17 March 1893,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Katoomba.,14 July 1888,Nepean Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Katoomba.,21 April 1903,Lithgow Mercury,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Katoomba.,19 December 1885,Nepean Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Megalong Valley.,27 October 1893,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Katoomba.,24 February 1883,Nepean Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
Notice of Application for a Conditional Publican's Licence,9 June 1893,Katoomba Times,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
The Megalong Hotel,21 September 1894,Mountaineer,Hotels,hotel,plural_to_singular,Default to generic leaf (from Hotels)
NARROW ESCAPE OF SHALE STACK.,6 January 1905,Daily Telegraph,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Katoomba Items.,28 April 1899,Lithgow Mercury,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Mountain Mixtures.,4 December 1891,Katoomba Times,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Mountain Mixtures.,22 January 1892,Katoomba Times,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Katoomba.,4 August 1905,Lithgow Mercury,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Mountain Mixtures.,16 June 1893,Katoomba Times,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Town Talk.,30 October 1903,Blue Mountain Gazette,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Local Jottings.,25 May 1889,Katoomba Times,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Local Jottings.,21 September 1889,Katoomba Times,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Mountain Mixtures.,29 April 1892,Katoomba Times,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
A.K.O. & M. Co.'s Meeting.,27 December 1901,Lithgow Mercury,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Kembla Disaster Survivor: Death of Mr. J. J. Meredith,25 November 1940,Lithgow Mercury,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
John Britty North.,6 March 1909,Blue Mountain Echo,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
[untitled],22 January 1906,Evening News,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
MINER INJURED AT KATOOMBA.,31 July 1905,Daily Telegraph,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Town Talk.,26 August 1904,Blue Mountain Gazette,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
The Katoomba Mines.,24 November 1903,Lithgow Mercury,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Town Talk.,2 October 1903,Blue Mountain Gazette,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Work at the Mines.,17 April 1903,Blue Mountain Gazette,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Mountain Industries.,7 April 1903,Evening News,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
LOST IN A SHALE MINE.,15 April 1903,Evening News,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Our Coal and Shale Mines.,9 January 1903,Blue Mountain Gazette,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
The Katoomba Shale Mine.,6 January 1903,Lithgow Mercury,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Katoomba South Mines.,9 December 1902,Lithgow Mercury,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Katoomba Shale Mine. Work To Be Resumed.,2 December 1902,Lithgow Mercury,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Mining.,15 June 1897,Evening News,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Current Events.,29 March 1897,Newcastle Morning Herald and Miners' Advocate,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Current Events.,26 October 1896,Newcastle Morning Herald and Miners' Advocate,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Mining.,19 September 1896,Newcastle Morning Herald and Miners' Advocate,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Mining.,25 August 1896,Evening News,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Mining.,19 May 1896,Evening News,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
The Gold Fields.,21 April 1896,Evening News,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Katoomba Coal and Shale Mines.,7 June 1895,Mountaineer,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
The Megalong Shale Mines.,21 December 1893,National Advocate,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Mountain Mixtures.,3 November 1893,Katoomba Times,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Mountain Mixtures.,10 February 1893,Katoomba Times,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Mountain Mixtures.,16 September 1892,Katoomba Times,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
End of the Katoomba Strike.,11 July 1892,Sydney Morning Herald,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Local and General.,7 July 1892,Bathurst  Free Press and Mining Journal,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
Mountain Mixtures.,11 March 1892,Katoomba Times,Shale mines,shale mine,plural_to_singular,Default to generic leaf (from Shale mines)
