title,date,publication,remove_tags,add_tags,source,notes
A Charge of Rape.,6 September 1890,Nepean Times,Police,New South Wales Police,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
NARROW ESCAPE OF SHALE STACK.,6 January 1905,Daily Telegraph,Australian Kerosene Shale and Oil Company | Nellie's Glen,Australian Kerosene Oil and Mineral Company | Nellie's Glen mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
News in Brief,9 October 1903,Mountaineer,Police,New South Wales Police,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Mountain Mixtures.,7 July 1893,Katoomba Times,I.O.O.F. Hall | Katoomba Tennis Club,Odd Fellows' Hall | Katoomba Lawn Tennis Club,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Mountain Mixtures.,21 October 1892,Katoomba Times,Ruined Castle,Ruined Castle mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Town Talk.,13 May 1904,Blue Mountain Gazette,Hartley Vale,Hartley Vale mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Mountain Mixtures.,9 September 1892,Katoomba Times,I.O.O.F. Hall | Nellie's Glen | Ruined Castle,Odd Fellows' Hall | Nellie's Glen mining district | Ruined Castle mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Jottings.,23 May 1891,Katoomba Times,I.O.O.F. Hall | Police,Odd Fellows' Hall | New South Wales Police,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Social at Hartley Vale.,23 September 1898,Lithgow Mercury,Hartley Vale,Hartley Vale mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Town Talk.,13 March 1903,Blue Mountain Gazette,Nellie's Glen,Nellie's Glen mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Mountain Mixtures.,23 March 1894,Katoomba Times,I.O.O.F. Hall,Odd Fellows' Hall,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
The Rockley Game.,7 February 1896,Mountaineer,Nellie's Glen,Nellie's Glen mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Mountain Mixtures.,4 December 1891,Katoomba Times,Hartley Vale | Mr David Brown | Nellie's Glen,Hartley Vale mining district | Mr D Brown | Nellie's Glen mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Hartley Vale.,13 February 1911,Lithgow Mercury,Hartley Vale,Hartley Vale mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Megalong Matters.,5 June 1896,Mountaineer,Nellie's Glen | Ruined Castle,Nellie's Glen mining district | Ruined Castle mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Mountain Mixtures.,22 January 1892,Katoomba Times,Hartley Vale,Hartley Vale mining district,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Mountain Mixtures.,23 June 1893,Katoomba Times,I.O.O.F. Hall | Police,Odd Fellows' Hall | New South Wales Police,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
Mountain Mixtures.,30 June 1893,Katoomba Times,I.O.O.F. Hall,Odd Fellows' Hall,orphaned_tags_final_resolution,Final batch: all tags verified as synonyms in taxonomy
