title,date,publication,remove_tags,add_tags,source,notes
Katoomba Items.,28 April 1899,Lithgow Mercury,A.K.O. & M. Company,Australian Kerosene Oil and Mineral Company,orphaned_tags_immediate_batch,User-confirmed tag-level mapping
Mountain Mixtures.,23 March 1894,Katoomba Times,A.K.O. & M. Company,Australian Kerosene Oil and Mineral Company,orphaned_tags_immediate_batch,User-confirmed tag-level mapping
Mountain Mixtures.,4 December 1891,Katoomba Times,A.K.O. & M. Company,Australian Kerosene Oil and Mineral Company,orphaned_tags_immediate_batch,User-confirmed tag-level mapping
Mountain Mixtures.,22 January 1892,Katoomba Times,A.K.O. & M. Company,Australian Kerosene Oil and Mineral Company,orphaned_tags_immediate_batch,User-confirmed tag-level mapping
Mountain Mixtures.,30 June 1893,Katoomba Times,A.K.O. & M. Company,Australian Kerosene Oil and Mineral Company,orphaned_tags_immediate_batch,User-confirmed tag-level mapping
Mines School of Arts.,2 May 1891,Katoomba Times,A.K.O. & M. Company,Australian Kerosene Oil and Mineral Company,orphaned_tags_immediate_batch,User-confirmed tag-level mapping
Mountain Mixtures.,29 April 1892,Katoomba Times,A.K.O. & M. Company,Australian Kerosene Oil and Mineral Company,orphaned_tags_immediate_batch,User-confirmed tag-level mapping
A.K.O. & M. Co.'s Meeting.,27 December 1901,Lithgow Mercury,A.K.O. & M. Company,Australian Kerosene Oil and Mineral Company,orphaned_tags_immediate_batch,User-confirmed tag-level mapping
Mountain Mixtures.,4 May 1894,Katoomba Times,A.K.O. & M. Company,Australian Kerosene Oil and Mineral Company,orphaned_tags_immediate_batch,User-confirmed tag-level mapping
[untitled],22 January 1906,Evening News,A.K.O. & M. Company,Australian Kerosene Oil and Mineral Company,orphaned_tags_immediate_batch,User-confirmed tag-level mapping
Local and General,7 July 1905,Mountaineer,A.K.O. & M. Company,Australian Kerosene Oil and Mineral Company,orphaned_tags_immediate_batch,User-confirmed tag-level mapping
The Katoomba Mines.,20 March 1903,Blue Mountain Gazette,A.K.O. & M. Company,Australian Kerosene Oil and Mineral Company,orphaned_tags_immediate_batch,User-confirmed tag-level mapping
Our Coal and Shale Mines.,9 January 1903,Blue Mountain Gazette,A.K.O. & M. Company,Australian Kerosene Oil and Mineral Company,orphaned_tags_immediate_batch,User-confirmed tag-level mapping
Katoomba South Mines.,9 December 1902,Lithgow Mercury,A.K.O. & M. Company,Australian Kerosene Oil and Mineral Company,orphaned_tags_immediate_batch,User-confirmed tag-level mapping
Katoomba Shale Mine. Work To Be Resumed.,2 December 1902,Lithgow Mercury,A.K.O. & M. Company,Australian Kerosene Oil and Mineral Company,orphaned_tags_immediate_batch,User-confirmed tag-level mapping
